,,Degree,,,,,,Master,,,,,,,Doctor Degree,,,,,,Atuação Profissional,,,,Acacia (cons. em 18/7/24),,,,,,,,,
Surname,Name,CourseG,InstitutionG,StartG,EndG,2nd CourseG,2nd Institution,CourseM,InstitutionM,AdvisorM,StartM,EndM,2nd CourseM,2nd InstitutionM,CourseD,CountryD,InstitutionD,AdvisorD,StartD,EndD,InstitutionP,StartP,EndP,2nd InstitutionP,Ds,IG,OBS,entries_sian,BR_DFANBSB_N8_ou_V8_entries_50_79,,,,,
Fang,Isu,Eng. Aeronáutica,ITA,1959,1963,,,Comp. Sc.,Stanford,,1968,1970,,,Comp. Sc.,US,Stanford,Donald Knuth,1968,1972,USP,1964,,,0,0,,1,adm.,,,,,
Simon,Imre,Eng. Eletrônica,USP,1962,1966,,,Comp. Sc.,Univ. of Waterloo,John A Brzozowski,1969,1970,,,Comp. Sc.,CA,Univ. of Waterloo,John A Brzozowski,1970,1972,USP,1967,2009,,497,4,grad. na Poli,2,manifesto de profs. da USP (morte Wladimir Herzog) e citada no doc. sobre infiltração (ver Setzer),,,,,
Wakabayashi,Yoshiko,Licenciatura em Matemática,USP,1969,1972,,,Matemática Aplicada,USP,Imre Simon,1973,1977,,,Matemática Aplicada,DE,Universität Augsburg,Martin Groetschel,1982,1986,USP,1975,-,,220,6,,1,manifesto de profs. da USP (morte Wladimir Herzog),,,,,
Mandel,Arnaldo,Matemática,USP,1972,1974,,,Matemática Aplicada,USP,Imre Simon,1975,1976,,,Mathematics,CA,Univ. of Waterloo,Jack Edmonds,1976,1982,USP,1975,-,,216,4,,0,,,,,,
Melnikoff,Selma Shin Shimizu,Eng. Elétrica,USP,1967,1971,,,Eng. Elétrica,USP,Antonio Marcos de Aguirra Massola,1972,1977,,,Eng. Elétrica,BR,USP,Carlos José Pereira de Lucena,1977,1982,USP,1981,,,169,6,,0,,,,,,
Ferreira,Maria Alice Grigas Varella,Eng. de Eletricidade,USP,1964,1968,,,Eng. Elétrica,USP,Tamio Shimizu,1969,1975,,,Eng. Elétrica,BR,USP,Tamio Shimizu,1975,1979,USP,1979,,,142,4,,0,,,,,,
Simon,István,,,,1969,,,Matemática Aplicada,USP,Valdemar Waingort Setzer,,1972,,,,US,Univ. of Stanford,,,1977,USP,,,,0,0,,1,relat. sobre infiltração judaico-esquerdista e elementos de origem asiática,,,,,
Feofiloff,Paulo,Eng. Eletrônica,USP,1965,1969,,,Matemática Aplicada,USP,Imre Simon,1972,1974,,,Combinatorics and Optimization,CA,Univ. of Waterloo,Daniel H. Younger,1974,1983,USP,1971,,,64,3,,1,relat. sobre infiltração judaico-esquerdista e elementos de origem asiática,,,,,
Porto,José Rubens Dória,Eng. Eletrônica,ITA,,1963,,,,,,,,,,Física,BR,USP,Luiz de Queiroz Orsini,,1969,Unicamp? USP?,,,,1,0,dout. na FFCL da USP,0,,,,,,
Shimizu,Tamio,Matemática,USP,1958,1962,,,Engenharia Eletrônica e Computação,ITA,Gustave Rabson,1963,1966,,,Engenharia de Produção,BR,USP,Gustave Rabson,1967,1970,USP,1972,,,692,7,,0,,,,,,
Vieira,Antônio Hélio Guerra,Eng. Mecânica,,,1953,,,,,,,,,,,FR,Escola Normal Superior,,,,,,,,4092,9,,4,"inst. de energia atômica de SP, projeto siscom (central telef.), infiltração (ver Setzer)","BR DFANBSB V8.MIC, GNC.AAA.79000284 - Dossiê",,,,
Massola,Antonio Marcos de Aguirra,Eng. Elétrica,USP,1963,1967,,,Eng. Elétrica,USP,Antônio Hélio Guerra Vieira,1968,1970,,,Eng. Elétrica,BR,USP,Antônio Hélio Guerra Vieira,1972,1974,USP,1969,,,1524,16,,0,,,,,,
Campos,Geraldo Lino de,,USP,1964,1969,,,Eng. Elétrica,USP,Antônio Hélio Guerra Vieira,1969,1972,,,Eng. Elétrica,BR,USP,Antonio Marcos de Aguirra Massola,1976,1980,USP,1972,1975,,57,2,,0,,,,,,
Ruggiero,Wilson Vicente,Eng. Elétrica,USP,1968,1972,,,Eng. Elétrica,USP,Antônio Hélio Guerra Vieira,,,,,Comp. Sc.,US,UCLA,Gerald Estrin,1975,1978,USP,1980,,,459,9,,0,,,,,,
Martucci Junior,Moacyr,Eng. Eletrônica,USP,,1973,,,Eng. Elétrica,USP,Antonio Marcos de Aguirra Massola,,1979,,,Eng. Elétrica,BR,USP,Lucas Antonio Moscato,,1982,USP,,,FDTE,220,5,CV parcialmente do bio no semish 77,0,,,,,,
Neto,João José,Eng. de Eletricidade,USP,1967,1971,,,Eng. Elétrica,USP,Antonio Marcos de Aguirra Massola,1972,1975,,,Eng. Elétrica,BR,USP,Antonio Marcos de Aguirra Massola,1975,1980,USP,1975,,,460,8,,0,,,,,,
Martini,José Sidnei Colombo,,,,,,,Eng. Elétrica,USP,Antonio Marcos de Aguirra Massola,,1975,,,Eng. Elétrica,BR,USP,Antonio Marcos de Aguirra Massola,,1982,,,,,76,3,,0,,,,,,
